post,target
Salesforce is looking for a Salesforce developer to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  developing  and testing Salesforce applications. Required skills include experience with Salesforce development  proficiency in Java or Apex  and knowledge of Salesforce best practices. Please submit your resume and cover letter to careers@salesforce.com by March 10  2026.,job_offer
Hello  my name is Youssef and I'm a web development student at ENSIAS in Rabat. I have skills in HTML  CSS  JavaScript  and experience with Angular and Node.js. I'm interested in internships or job opportunities in web development. You can contact me at youssef.EL@gmail.com.,job_seeker
Ericsson is seeking a telecom engineer to join our team in Casablanca (6 months). The successful candidate will be responsible for designing  implementing  and maintaining telecom networks. Required skills include experience with telecom systems  proficiency in Java or Python  and knowledge of telecom protocols. Please submit your resume and cover letter to talent@ericsson.com by March 15  2026.,job_offer
Je m'appelle Fatima  Ã©tudiante en 2Ã¨me annÃ©e de master en Data Science Ã  l'UCA de Casablanca. J'ai des compÃ©tences en machine learning  programmation Python et utilise des bibliothÃ¨ques telles que Scikit-learn et TensorFlow. Je suis intÃ©ressÃ©e par des stages ou des opportunitÃ©s de travail dans le domaine de la data science. Vous pouvez me contacter Ã  contact@uca.ma.,job_seeker
Huawei is looking for a 5G engineer to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  implementing  and testing 5G networks. Required skills include experience with 5G systems  proficiency in Java or Python  and knowledge of 5G protocols. Please submit your resume and cover letter to careers@huawei.com by March 20  2026.,job_offer
Hello  my name is Souad and I'm a digital marketing student at ISCAE in Casablanca. I have skills in social media marketing  SEO  and experience with Google Analytics. I'm interested in internships or job opportunities in digital marketing. You can contact me at souad.ZA@gmail.com.,job_seeker
Oracle is seeking a cloud architect to join our team in Rabat (6 months). The successful candidate will be responsible for designing  implementing  and managing cloud-based systems. Required skills include experience with cloud architecture  proficiency in Java or Python  and knowledge of cloud security best practices. Please submit your resume and cover letter to talent@oracle.com by March 25  2026.,job_offer
Je m'appelle Amine  Ã©tudiant en 3Ã¨me annÃ©e de licence en Informatique Ã  l'UM5S de Rabat. J'ai des compÃ©tences en sÃ©curitÃ© informatique  programmation Python et utilise des outils tels que Nmap et Metasploit. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine de la sÃ©curitÃ©. Vous pouvez me contacter Ã  contact@um5s.ac.ma.,job_seeker
Capgemini is looking for an IT consultant to join our team in Lyon (4-6 months). The successful candidate will be responsible for analyzing business needs  designing and implementing IT solutions  and providing technical support. Required skills include experience with IT service management  proficiency in Java or Python  and knowledge of cloud-based technologies. Please submit your resume and cover letter to careers@capgemini.com by March 30  2026.,job_offer
Hello  my name is Yassine and I'm a web development student at ENSIAS in Rabat. I have skills in HTML  CSS  JavaScript  and experience with React and Node.js. I'm interested in internships or job opportunities in web development. You can contact me at yassine.EL@gmail.com.,job_seeker
Accenture is seeking a data analyst to join our team in Paris (6 months). The successful candidate will be responsible for analyzing data  creating reports  and providing insights to business stakeholders. Required skills include experience with data analysis  proficiency in Excel or SQL  and knowledge of data visualization tools. Please submit your resume and cover letter to talent@accenture.com by April 1  2026.,job_offer
Je m'appelle Souad  Ã©tudiante en 2Ã¨me annÃ©e de master en Intelligence Artificielle Ã  l'UCA de Casablanca. J'ai des compÃ©tences en apprentissage automatique  programmation Python et utilise des bibliothÃ¨ques telles que TensorFlow et Keras. Je suis intÃ©ressÃ©e par des stages ou des opportunitÃ©s de travail dans le domaine de l'IA. Vous pouvez me contacter Ã  contact@etu.uca.ma.,job_seeker
IBM is looking for a cloud engineer to join our team in Rabat (4-6 months). The successful candidate will be responsible for designing  implementing  and managing cloud-based systems. Required skills include experience with cloud engineering  proficiency in Java or Python  and knowledge of cloud security best practices. Please submit your resume and cover letter to careers@ibm.com by April 5  2026.,job_offer
Hello  my name is Oumaima and I'm a digital marketing student at ISCAE in Casablanca. I have skills in social media marketing  SEO  and experience with Google Analytics. I'm interested in internships or job opportunities in digital marketing. You can contact me at oumaima.ZA@gmail.com.,job_seeker
Ericsson is seeking a telecom engineer to join our team in Casablanca (6 months). The successful candidate will be responsible for designing  implementing  and maintaining telecom networks. Required skills include experience with telecom systems  proficiency in Java or Python  and knowledge of telecom protocols. Please submit your resume and cover letter to talent@ericsson.com by April 10  2026.,job_offer
Je m'appelle Amine  Ã©tudiant en 2Ã¨me annÃ©e de master en Data Science Ã  l'ESI de Casablanca. J'ai des compÃ©tences en machine learning  programmation Python et utilise des bibliothÃ¨ques telles que Scikit-learn et TensorFlow. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine de la data science. Vous pouvez me contacter Ã  contact@esi.ac.ma.,job_seeker
Salesforce is looking for a Salesforce developer to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  developing  and testing Salesforce applications. Required skills include experience with Salesforce development  proficiency in Java or Apex  and knowledge of Salesforce best practices. Please submit your resume and cover letter to careers@salesforce.com by April 15  2026.,job_offer
Hello  my name is Youssef and I'm a web development student at ENSIAS in Rabat. I have skills in HTML  CSS  JavaScript  and experience with Angular and Node.js. I'm interested in internships or job opportunities in web development. You can contact me at youssef.EL@gmail.com.,job_seeker
Huawei is seeking a 5G engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  implementing  and testing 5G networks. Required skills include experience with 5G systems  proficiency in Java or Python  and knowledge of 5G protocols. Please submit your resume and cover letter to talent@huawei.com by April 20  2026.,job_offer
Je m'appelle Mohamed  Ã©tudiant en 3Ã¨me annÃ©e de licence en Informatique Ã  l'UCA de Casablanca. J'ai des compÃ©tences en rÃ©seau informatique  programmation Python et utilise des outils tels que Cisco Packet Tracer. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine des rÃ©seaux. Vous pouvez me contacter Ã  contact@uca.ma.,job_seeker
Microsoft is looking for a data engineer to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  building  and maintaining large-scale data systems. Required skills include experience with data engineering tools such as Apache Beam  proficiency in Java or Python  and knowledge of data storage solutions such as Azure Data Lake. Please submit your resume and cover letter to careers@microsoft.com by April 25  2026.,job_offer
Hello  my name is Souad and I'm a digital marketing student at ISCAE in Casablanca. I have skills in social media marketing  SEO  and experience with Google Analytics. I'm interested in internships or job opportunities in digital marketing. You can contact me at souad.ZA@gmail.com.,job_seeker
Accenture is seeking an IT consultant to join our team in Rabat (6 months). The successful candidate will be responsible for analyzing business needs  designing and implementing IT solutions  and providing technical support. Required skills include experience with IT service management  proficiency in Java or Python  and knowledge of cloud-based technologies. Please submit your resume and cover letter to talent@accenture.com by April 30  2026.,job_offer
Je m'appelle Fatima  Ã©tudiante en 2Ã¨me annÃ©e de master en Data Science Ã  l'UM5A de Rabat. J'ai des compÃ©tences en machine learning  programmation Python et utilise des bibliothÃ¨ques telles que Scikit-learn et TensorFlow. Je suis intÃ©ressÃ©e par des stages ou des opportunitÃ©s de travail dans le domaine de la data science. Vous pouvez me contacter Ã  contact@um5a.ac.ma.,job_seeker
Oracle is looking for a cloud architect to join our team in Paris (4-6 months). The successful candidate will be responsible for designing  implementing  and managing cloud-based systems. Required skills include experience with cloud architecture  proficiency in Java or Python  and knowledge of cloud security best practices. Please submit your resume and cover letter to careers@oracle.com by May 1  2026.,job_offer
Hello  my name is Yassine and I'm a web development student at ENSIAS in Rabat. I have skills in HTML  CSS  JavaScript  and experience with React and Node.js. I'm interested in internships or job opportunities in web development. You can contact me at yassine.EL@gmail.com.,job_seeker
Ericsson is seeking a telecom engineer to join our team in Casablanca (6 months). The successful candidate will be responsible for designing  implementing  and maintaining telecom networks. Required skills include experience with telecom systems  proficiency in Java or Python  and knowledge of telecom protocols. Please submit your resume and cover letter to talent@ericsson.com by May 5  2026.,job_offer
Je m'appelle Amine  Ã©tudiant en 2Ã¨me annÃ©e de master en Intelligence Artificielle Ã  l'ESI de Casablanca. J'ai des compÃ©tences en apprentissage automatique  programmation Python et utilise des bibliothÃ¨ques telles que TensorFlow et Keras. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine de l'IA. Vous pouvez me contacter Ã  contact@esi.ac.ma.,job_seeker
IBM is looking for a cloud engineer to join our team in Rabat (4-6 months). The successful candidate will be responsible for designing  implementing  and managing cloud-based systems. Required skills include experience with cloud engineering  proficiency in Java or Python  and knowledge of cloud security best practices. Please submit your resume and cover letter to careers@ibm.com by May 10  2026.,job_offer
Hello  my name is Oumaima and I'm a digital marketing student at ISCAE in Casablanca. I have skills in social media marketing  SEO  and experience with Google Analytics. I'm interested in internships or job opportunities in digital marketing. You can contact me at oumaima.ZA@gmail.com.,job_seeker
Huawei is seeking a 5G engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  implementing  and testing 5G networks. Required skills include experience with 5G systems  proficiency in Java or Python  and knowledge of 5G protocols. Please submit your resume and cover letter to talent@huawei.com by May 15  2026.,job_offer
Je m'appelle Mohamed  Ã©tudiant en 3Ã¨me annÃ©e de licence en Informatique Ã  l'UCA de Casablanca. J'ai des compÃ©tences en rÃ©seau informatique  programmation Python et utilise des outils tels que Cisco Packet Tracer. Je suis intÃ©ressÃ© par des stages ou des opportunitÃ©s de travail dans le domaine des rÃ©seaux. Vous pouvez me contacter Ã  contact@uca.ma.,job_seeker
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Finance company (Manufacturing Plant) at Nice is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Join our Energy team in Tunis. You will...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Join our Media team in Rome. You will...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Hong Kong  we're looking for...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Education company (Scaleup) at Lyon is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Paris  we're looking for...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. London-based opportunity in Real Estate. Responsibilities include...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Hong Kong-based opportunity in Agriculture. Responsibilities include...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Join our Energy team in Paris. You will...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Meknes  we're looking for...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Energy Company in Technology seeking...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Berlin  we're looking for...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Singapore  we're looking for...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Multinational in Aerospace seeking...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Legal company (Manufacturing Plant) at Toulouse is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Logistics company (Research Institute) at Barcelona is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Legal company (Insurance Company) at San Francisco is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Government company (University) at Marseille is hiring...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Join our Hospitality team in Singapore. You will...,job_offer
DataForge recrute un(e) stagiaire PFE Data Science (4-6 mois  Casablanca). Missions principales : traitement donnÃ©es NLP multilingue  dÃ©veloppement embeddings vectoriels  mise en place pipeline classification et validation rÃ©sultats ML. Profil recherchÃ© : Ã©tudiant(e) Master Data/IA  maÃ®trise Python  PyTorch et transformers. Avantages : encadrement par experts  accÃ¨s infrastructures  possibilitÃ© embauche post-stage. Envoyez dossier (CV + projets/GitHub) Ã  talent@dataforge.ma avant 10 fÃ©vrier 2026. Based in Vienna  we're looking for...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Automotive company (University) at Tokyo is hiring...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Based in London  we're looking for...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Bangkok-based opportunity in Education. Responsibilities include...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our Legal team in Milan. You will...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Amsterdam-based opportunity in Agriculture. Responsibilities include...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Berlin-based opportunity in Government. Responsibilities include...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our Hospitality team in Tunis. You will...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Bangkok-based opportunity in Telecom. Responsibilities include...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Enterprise in Media seeking...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our Hospitality team in New York. You will...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our Defense team in Rome. You will...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Based in Madrid  we're looking for...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Gaming company (Research Institute) at Marrakech is hiring...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our E-commerce team in Marseille. You will...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Tangier-based opportunity in Food & Beverage. Responsibilities include...,job_offer
IBM is seeking a software engineer to join our team in Paris (6 months). The successful candidate will be responsible for designing  developing  and testing software applications. Required skills include proficiency in Java  Python  and experience with cloud-based technologies. Please submit your resume and cover letter to jobs@ibm.com by February 15  2026. Join our Healthcare team in Singapore. You will...,job_offer
